,song,id
0,"who are you who am i
is it real to touch the sky
nothing's real for the sky-
said the birds of paradise 
i'm afraid can't you see
tell mewhere you carry me
you will soon realize-
said the birds of paradise — uu-u uu-u

flying home flying home
to the land that you once had known
to the peace that once was true
for a little girl like you 
flying home flying home
from the world that is made of stone
till your heart is light and free
like it once was meant to be 
how i can go ahead
when my eyes are becoming wet
save your tears dry your eyes-
said the birds of paradise 
by the time is passing by
sayhow long do we have to fly
moon will set-sun will rise-
said the birds of paradise 
flying home flying home
to the land that you once had known
to the peace that once was true
for a little girl like you uu-u 
flying home flying home
from the world that is made of stone
till your heart is light and free
like it once was meant to be 
what the sunand here`s the light
now i know what i`ve heard was right
morning sun can make you wise-
said the birds of paradise
the birds of paradise
the birds of paradise",0
1,"сидел да сидели
сидел да сидели
взя и придумали
вста и пошли
шл да шли
шл да шлид шлид шли
шл да не нашли
 дальш что
сел и поехали
еха поехали
еха доехали
 дальш что
пл да плыли
пл да плыли
пл и доплыли
 дальш что
сел полетели
летел да летели
летел долетели
 дальш что
все
полюс
все
полюс
вс",1
2,"ветер задохнул в пламен свечи
двер напорол на сво ключи
красн рук машут фонари
 у мир час до полночи
 у мир час до полночи
с непонятн казн потянул люд
зл кулакамираздир грудь
ненавистн флаг комк ряды
 над мир неб в полбеды
 над мир неб в полбеды
праведн убийц плачет у креста
горд невестакамен фата
подл геро пламен ночи
 у мир час до полночи
 у мир час до полночи
 рожда за пят минут до нача мира
 умира за пят минут до конц света
н в эти пят минут мир мол за меня
мир мол за меня
мир мол за меня
мир мол за меня",2
3,"раз ид по переулкувдруг ко мне подход дво 
говорят— нуотда сво сердц 
лучш убегуспас себя сам 
я не ищ себе на жоп приключен по ноч 
я проснул ноч от разбит окн 
эт значит—пор бежа на черн ход 
тревожн чемоданчик запыл в шкаф 
ебебеб тво мат не зна кунг-ф 
я не зна кунг-фу
 не зна кунг-фу
 не зна кунг-фу
 не зна кунг-фу
ай ай помог себе сам 
ай ай помог себе сам 
ай ай помог себе сам 
ай помог себе сам 

раз зашел в каф похаватьвып ебан коф 
перестрелка—лежа сосать—в жоп пул 
лучш уполз спас себя сам 
нах бы мне сдал этот коф к ебен 
хот не иска нашел на жоп подруг из свинц 
ноет пуля–эт ебан дура—в дожд 
отреза пол туловищ сран врач 
ебебеб тво матьн умеешь–н леч 
не умееш не лечи
н умееш не лечи
н умееш не лечи
обезья чичич продава кирпич 
ай ай помог себе сам 
ай ай помог себе сам 
ай ай помог себе сам 
ай помог себе сам 

я хож везд пешкомбудт ебнут мешк 
нах ник нигд не нужн мудак 
я забылс чего нача и что будет в конц 
и снег уже не тает у меня на конц 
я уста охуева от пидарастическ попс 
когд я виж их в лицо говор себе—н ссы 
и если мне не будет лен если я буд в сил 
я прид попляса на ваш могил 
я прид поплясать
 прид поплясать
 прид поплясать
 прид попляса на ваш ебан могил 

ай ай помог себе сам 
ай ай помог себе сам 
ай ай помог себе сам 
ай помог себе сам",3
4,"дружн по тревог граждан собрали
тепл пожитк цен предметы
громк весел после надоело-
слома игрушк дет наигрались
амнез амнезия-вс позабыл
 мне не страшно
мн теперь не страшно

доблестн утр зап нафталина
дивн культур цельн система
формен порядок стойк оптимизм
кт не вер в бога-тот не станет плакать
амнез амнезия-вс позабыл
 мне не страшно
мн теперь не страшно
спел пельмен полн карманы
полн желудк массов сцены
дырк на ладон — так ему и надо
нек ответ — неч бояться
амнез амнезия-вс позабыл
 мне страшно
мн теперь не страшно
мн теперь не страшно
мн теперь не страшно
мн теперь не страшно
мн теперь не страшн",4
5,"я смотр на свою руку
недавн была ран кров теперь —
нов нежн кожа
н успевш испачка загореть
дн стал короче
скор станет совсем темн",5
6,"эт — провокац эт — саботаж
ленин гальваническ мечет в гробу
в наш конституц впива враги
неч церемон — надо нас убить
ибо-наш правда
наш вер 
наш дел — анархия
нац терза праведн дрожь
пуч анарх мил страна
арм команд направ и налево
в советск отчизн погружа в говно
ибо-наш правда
наш вер 
наш дел — анарх",6
7,"на кажд из нас легион ментов
н кажд из нас миллион люберов
н кажд из нас эшелон солдат
 полчищ майор комитет гб
ибо-наш правда
наш вера
наш дел — анархия
н кажд из нас гарнизон врачей
н кажд из нас батальон стукачей
н кажд из нас комбинат палачей
н кажд из нас водопад клеветы
ибо-наш правда
наш вера
наш дел — анарх",7
8,"плащ прикр плечики
дожд идут везде
 капл как кузнечики
стрекочат на воде
 я дождинк каждую
в ладон ловлюловлю
т зря не люб дождика
 я дожд люблю
зим быва снежная
трещ крут мороз
 ты так нежная
в перчатк прячеш нос
лет на лыж молодость
как будто во хмелю
т зря не люб холода
 я мороз люблю
так ты красивая
как сам перв снег
наверн ты счастливее
снежинок эт всех
н чем я не прославился
себ я не хвалю
теб я не понравился
 я тебя любл",8
9,"анархист вид свет
анархист знают рай
анархист вер в бред
анархист слышат лай
анархист люб транк
анархист знают срок
анархист люб панк
анархист люб рок 
да будет анархия
анархист закуют
анархист умертвят
анархист заплюют
анархист запретят
анархист смотр вдаль
анархист вид свет
анархист знают рай
анархист вер в бред
д будет анархия
анархист вид свет
анархист знают рай
анархист вер в бред
анархист слышат лай
анархист люб транк
анархист знают срок
анархист люб панк
анархист люб рок
д будет анархия
д будет анархия
хойх",9
